donor_id,week,tbs,body_moisture,rainfall,avg_humidity,avg_temp,quantity_mtdna
Donor_2,1,19,19.57,1.2446,76.33333333,17.28009259,6556.691378
Donor_2,2,24,60,7.3406,80.14285714,20.11904762,11151.87603
Donor_2,3,26,20.63,5.588,78.85714286,18.82936508,75591.51617
Donor_2,4,27,26.83,1.2954,77.14285714,19.32539683,6286.182045
Donor_2,5,28,19.47,0.1016,78.14285714,21.47156005,603.8049417
Donor_2,6,28,22.1,0.0762,67.42857143,21.36904762,2281.648404
Donor_2,7,28,25.6,2.1082,76,22.11309524,573.655575
Donor_2,8,28,25.23,1.7018,86.57142857,22.24206349,66.83544
Donor_2,9,28,22.2,2.1844,85.28571429,22.21560783,396.2327955
Donor_2,10,28,23.87,0.4826,82.42857143,21.81547651,976.154275
Donor_2,11,30,19.4,0.9652,82,23.13492,728.2602333
Donor_1,1,23,45.43,1.2446,74.28571429,17.37103175,1436.31
Donor_1,2,27,60,7.3406,80.14285714,20.11904762,987.5231909
Donor_1,3,31,33.77,5.588,78.85714286,18.82936508,3744.412146
Donor_1,4,31,37.56,1.2954,77.14285714,19.32539683,1390.954817
Donor_1,5,30,40.57,0.1016,78.14285714,21.47156005,1048.067817
Donor_1,6,31,22.47,0.0762,67.42857143,21.36904762,2151.018017
Donor_1,7,31,27.2,2.1082,76,22.11309524,311.8847083
Donor_1,8,31,30.6,1.7018,86.57142857,22.24206349,83.47034167
Donor_1,9,32,60,2.1844,85.28571429,22.21560783,159.70175
Donor_1,10,32,0,0.4826,82.42857143,21.81547651,113.9254
Donor_1,11,32,0,0.9652,82,23.13492,117.406225
Donor_3,1,19,30.6,1.0922,76.16666667,19.0625,7442.234844
Donor_3,2,22,30.5,1.2954,77.14285714,19.32539683,2428.926075
Donor_3,3,24,19.33,0.1016,78.14285714,21.47156005,401.90385
Donor_3,4,24,17.6,0.0762,67.42857143,21.36904762,346.8013875
Donor_3,5,24,18.33,2.1082,76,22.11309524,558.072
Donor_3,6,26,22.4,1.7018,86.57142857,22.24206349,1896.4516
Donor_3,7,28,16.93,2.1844,85.28571429,22.21560783,762.8347955
Donor_3,8,28,21,0.4826,82.42857143,21.81547651,428.841165
Donor_3,9,28,20.03,0.9652,82,23.13492,793.048265
Donor_3,10,29,27.37,3.0226,87.57142857,22.18253968,679.2589
Donor_3,11,29,30.97,2.2606,88.57142857,21.33928571,991.6343333
